"id";"value";"type";"param";"param_type";"protocol_type";"protocol_param_id"
84;1;1;1001;2;1;1
81;2;1;1001;2;1;1
80;3;1;1001;2;1;1
66;4;1;1001;2;1;1
85;5;1;1001;2;1;1
67;13;1;1001;2;1;1
82;14;1;1001;2;1;1
78;15;1;1001;2;1;1
63;17;1;1001;2;1;1
64;18;1;1001;2;1;1
65;19;1;1001;2;1;1
328;23;1;1001;2;1;1
515;24;1;1001;2;1;1
2000;"6x12";2;1002;2;2;1
2001;"6x12";2;1002;2;2;1
2002;"3x12";2;1002;2;2;1
2003;"3x12";2;1002;2;2;1
2004;"1x1";2;1002;2;2;1
2005;"2x7";2;1002;2;2;1
2006;"3x2";2;1002;2;2;1
2007;"5x7";2;1002;2;2;1
2008;"5x7";2;1002;2;2;1
2009;"4x6";2;1002;2;2;1
2010;"5x7";2;1002;2;2;1
2011;"2x3";2;1002;2;2;1
2012;"3x7";2;1002;2;2;1
2013;"3x7";2;1002;2;2;1
2014;"5x6";2;1002;2;2;1
2015;"3x3";2;1002;2;2;1
2016;"2x3";2;1002;2;2;1
2017;"4x1";2;1002;2;2;1
2018;"2x2";2;1002;2;2;1
2019;"4x4";2;1002;2;2;1
2020;"4x7";2;1002;2;2;1
2021;"3x7";2;1002;2;2;1
2022;"4x7";2;1002;2;2;1
2023;"4x7";2;1002;2;2;1
2024;"4x7";2;1002;2;2;1
2025;"4x7";2;1002;2;2;1
2026;"4x7";2;1002;2;2;1
2027;"4x7";2;1002;2;2;1
2028;"4x7";2;1002;2;2;1
2029;"4x7";2;1002;2;2;1
2030;"1x5";2;1002;2;2;1
2031;"2x6";2;1002;2;2;1
2032;"4x7";2;1002;2;2;1
2033;"4x3";2;1002;2;2;1
2034;"4x7";2;1002;2;2;1
2035;"4x7";2;1002;2;2;1
2036;"5x7";2;1002;2;2;1
2037;"4x7";2;1002;2;2;1
2038;"4x7";2;1002;2;2;1
2039;"4x7";2;1002;2;2;1
2040;"4x7";2;1002;2;2;1
2041;"4x7";2;1002;2;2;1
2042;"4x7";2;1002;2;2;1
2043;"4x7";2;1002;2;2;1
2044;"4x7";2;1002;2;2;1
2045;"3x7";2;1002;2;2;1
2046;"3x7";2;1002;2;2;1
2047;"4x7";2;1002;2;2;1
2048;"4x7";2;1002;2;2;1
2049;"5x7";2;1002;2;2;1
2050;"4x7";2;1002;2;2;1
2051;"4x7";2;1002;2;2;1
2052;"4x7";2;1002;2;2;1
2053;"4x7";2;1002;2;2;1
2054;"4x7";2;1002;2;2;1
2055;"4x7";2;1002;2;2;1
2056;"5x7";2;1002;2;2;1
2057;"4x7";2;1002;2;2;1
2058;"4x7";2;1002;2;2;1
2059;"5x7";2;1002;2;2;1
2060;"5x7";2;1002;2;2;1
2061;"5x7";2;1002;2;2;1
2062;"4x7";2;1002;2;2;1
2063;"3x7";2;1002;2;2;1
2064;"4x4";2;1002;2;2;1
2065;"3x7";2;1002;2;2;1
2066;"5x3";2;1002;2;2;1
2067;"4x1";2;1002;2;2;1
2068;"2x3";2;1002;2;2;1
2069;"4x5";2;1002;2;2;1
2070;"4x7";2;1002;2;2;1
2071;"4x5";2;1002;2;2;1
2072;"4x7";2;1002;2;2;1
2073;"4x5";2;1002;2;2;1
2074;"4x7";2;1002;2;2;1
2075;"4x5";2;1002;2;2;1
2076;"4x7";2;1002;2;2;1
2077;"2x7";2;1002;2;2;1
2078;"4x7";2;1002;2;2;1
2079;"4x7";2;1002;2;2;1
2080;"3x7";2;1002;2;2;1
2081;"5x5";2;1002;2;2;1
2082;"4x5";2;1002;2;2;1
2083;"4x5";2;1002;2;2;1
2084;"4x5";2;1002;2;2;1
2085;"4x5";2;1002;2;2;1
2086;"4x5";2;1002;2;2;1
2087;"4x5";2;1002;2;2;1
2088;"4x7";2;1002;2;2;1
2089;"4x5";2;1002;2;2;1
2090;"4x5";2;1002;2;2;1
2091;"5x5";2;1002;2;2;1
2092;"5x5";2;1002;2;2;1
2093;"4x5";2;1002;2;2;1
2094;"4x5";2;1002;2;2;1
2095;"4x7";2;1002;2;2;1
2096;"1x1";2;1002;2;2;1
2097;"4x7";2;1002;2;2;1
2098;"5x3";2;1002;2;2;1
2099;"4x7";2;1002;2;2;1
2100;"2x3";2;1002;2;2;1
2101;"4x7";2;1002;2;2;1
2102;"5x3";2;1002;2;2;1
2103;"5x1";2;1002;2;2;1
2104;"3x7";2;1002;2;2;1
2105;"3x7";2;1002;2;2;1
2106;"3x2";2;1002;2;2;1
2107;"5x7";2;1002;2;2;1
2108;"4x7";2;1002;2;2;1
2109;"3x5";2;1002;2;2;1
2110;"5x7";2;1002;2;2;1
2111;"4x7";2;1002;2;2;1
2112;"2x3";2;1002;2;2;1
2113;"2x3";2;1002;2;2;1
2114;"5x3";2;1002;2;2;1
2115;"5x3";2;1002;2;2;1
2116;"2x2";2;1002;2;2;1
2117;"4x2";2;1002;2;2;1
2118;"4x2";2;1002;2;2;1
2119;"4x2";2;1002;2;2;1
2120;"5x3";2;1002;2;2;1
2121;"5x7";2;1002;2;2;1
2122;"3x5";2;1002;2;2;1
2123;"5x5";2;1002;2;2;1
2124;"4x7";2;1002;2;2;1
2125;"5x7";2;1002;2;2;1
2126;"2x7";2;1002;2;2;1
2127;"5x7";2;1002;2;2;1
2128;"4x7";2;1002;2;2;1
2129;"4x7";2;1002;2;2;1
2130;"5x7";2;1002;2;2;1
2131;"1x7";2;1002;2;2;1
2132;"4x7";2;1002;2;2;1
2133;"5x2";2;1002;2;2;1
2134;"6x7";2;1002;2;2;1
2135;"4x4";2;1002;2;2;1
2136;"5x5";2;1002;2;2;1
2137;"4x3";2;1002;2;2;1
2138;"1x1";2;1002;2;2;1
