item;alias;description;sessionuid;road;stretchs;pk;sentido
1;TUN-LUX-1CA;TUN-LUX-1CA;TUN-LUX-1CA;Carretera Tunel;Carretera;172+100;CA
2;TUN-LUX-2CA;TUN-LUX-2CA;TUN-LUX-2CA;Carretera Tunel;Carretera;172+100;CA
3;TUN-LUX-3CA;TUN-LUX-3CA;TUN-LUX-3CA;Carretera Tunel;Carretera;172+100;CA
4;TUN-LUX-4CA;TUN-LUX-4CA;TUN-LUX-4CA;Carretera Tunel;Carretera;172+100;CA
5;TUN-LUX-1MA;TUN-LUX-1MA;TUN-LUX-1MA;Carretera Tunel;Carretera;173+900;MA
6;TUN-LUX-2MA;TUN-LUX-2MA;TUN-LUX-2MA;Carretera Tunel;Carretera;173+900;MA
7;TUN-LUX-3MA;TUN-LUX-3MA;TUN-LUX-3MA;Carretera Tunel;Carretera;173+900;MA
8;TUN-LUX-4MA;TUN-LUX-4MA;TUN-LUX-4MA;Carretera Tunel;Carretera;173+900;MA
