item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-DALJ-1;RV-DALJ-1;RV-DALJ-1;AP7 - AUSOL I;RV-TUNEL;177+307;CA
2;RV-DEP-DIESEL-PCI;RV-DEP-DIESEL-PCI;RV-DEP-DIESEL-PCI;AP7 - AUSOL I;RV-TUNEL;177+307;CA
3;MM-DALJ-1;MM-DALJ-1;MM-DALJ-1;AP7 - AUSOL I;MM-TUNEL;165+987;CA
4;MM-DEP-DIESEL-PCI;MM-DEP-DIESEL-PCI;MM-DEP-DIESEL-PCI;AP7 - AUSOL I;MM-TUNEL;165+987;CA
6;LQ-DEP-DIESEL-PCI;LQ-DEP-DIESEL-PCI;LQ-DEP-DIESEL-PCI;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
7;LQ-DALJ-1;LQ-DALJ-1;LQ-DALJ-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
8;CAS-DEP-DIESEL-PCI;CAS-DEP-DIESEL-PCI;CAS-DEP-DIESEL-PCI;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
9;CAS-DALJ-1;CAS-DALJ-1;CAS-DALJ-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
10;CH-DALJ-1;CH-DALJ-1;CH-DALJ-1;AP7 - AUSOL I;CH-TUNEL;173+900;CA
11;CH-DEP-DIESEL-PCI;CH-DEP-DIESEL-PCI;CH-DEP-DIESEL-PCI;AP7 - AUSOL I;CH-TUNEL;173+900;CA
14;NG-DEP-DIESEL-PCI;NG-DEP-DIESEL-PCI;NG-DEP-DIESEL-PCI;AP7 - AUSOL I;NG-TUNEL;173+900;MA
15;NG-DALJ-1;NG-DALJ-1;NG-DALJ-1;AP7 - AUSOL I;NG-TUNEL;173+900;MA
16;COR-DEP-DIESEL-PCI;COR-DEP-DIESEL-PCI;COR-DEP-DIESEL-PCI;AP7 - AUSOL I;COR-TUNEL;173+900;CA
17;COR-DALJ-1;COR-DALJ-1;COR-DALJ-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA
18;CAS-DEP-TRASIEGO-BM;CAS-DEP-TRASIEGO-BM;CAS-DEP-TRASIEGO-BM;AP7 - AUSOL II;CAS-TUNEL;177+317;CA
19;CAS-DEP-TRASIEGO-BC;CAS-DEP-TRASIEGO-BC;CAS-DEP-TRASIEGO-BC;AP7 - AUSOL II;CAS-TUNEL;177+317;CA
20;CH-DEP-TRASIEGO;CH-DEP-TRASIEGO;CH-DEP-TRASIEGO;AP7 - AUSOL I;CH-TUNEL;173+900;CA
21;COR-DEP-TRASIEGO-BM;COR-DEP-TRASIEGO-BM;COR-DEP-TRASIEGO-BM;AP7 - AUSOL I;COR-TUNEL;173+900;CA
22;COR-DEP-TRASIEGO-BC;COR-DEP-TRASIEGO-BC;COR-DEP-TRASIEGO-BC;AP7 - AUSOL I;COR-TUNEL;173+900;CA
23;LQ-DEP-TRASIEGO;LQ-DEP-TRASIEGO;LQ-DEP-TRASIEGO;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
24;MM-DEP-TRASIEGO;MM-DEP-TRASIEGO;MM-DEP-TRASIEGO;AP7 - AUSOL I;MM-TUNEL;165+987;CA
25;NG-DEP-TRASIEGO;NG-DEP-TRASIEGO;NG-DEP-TRASIEGO;AP7 - AUSOL I;NG-TUNEL;173+900;MA
26;RV-DEP-TRASIEGO;RV-DEP-TRASIEGO;RV-DEP-TRASIEGO;AP7 - AUSOL I;RV-TUNEL;177+307;CA
27;STM2-DEP-TRASIEGO;STM2-DEP-TRASIEGO;STM2-DEP-TRASIEGO;AP7 - AUSOL II;STMII-TUNEL;177+317;CA
28;CAS-DEP-TOX-BC;CAS-DEP-TOX-BC;CAS-DEP-TOX-BC;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
