location_id;alias
1; pk 177+339
2; pk 166+087
3; pk 199+836
4; pk 173+900
5; pk 173+900
6; pk 180+215
7; pk 150+818
8; pk 151+953
9; pk 177+282
10; pk 177+210
11; pk 177+138
12; pk 176+998
13; pk 176+313
14; pk 177+011
15; pk 177+087
16; pk 177+164
17; pk 177+312
18; pk 177+329
19; pk 166+720
20; pk 166+707
21; pk 166+627
22; pk 166+547
23; pk 166+467
24; pk 166+387
25; pk 166+307
26; pk 166+227
27; pk 166+147
28; pk 166+397
29; pk 166+397
30; pk 166+110
31; pk 166+190
32; pk 166+270
33; pk 166+350
34; pk 166+430
35; pk 166+510
36; pk 166+590
37; pk 166+670
38; pk 166+880
39; pk 195+710
40; pk 195+555
41; pk 195+685
42; pk 195+689
43; pk 195+555
44; pk 195+520
45; pk 172+623
46; pk 173+535
47; pk 173+492
48; pk 173+417
49; pk 173+340
50; pk 173+265
51; pk 173+187
52; pk 173+110
53; pk 173+035
54; pk 172+957
55; pk 172+881
56; pk 172+805
57; pk 172+651
58; pk 172+917
59; pk 172+917
60; pk 172+657
61; pk 172+734
62; pk 172+805
63; pk 172+888
64; pk 172+965
65; pk 173+117
66; pk 173+257
67; pk 173+320
68; pk 173+437
69; pk 199+887
70; pk 199+788
71; pk 199+719
72; pk 199+648
73; pk 199+577
74; pk 199+507
75; pk 199+436
76; pk 199+364
77; pk 199+226
78; pk 199+517
79; pk 199+517
80; pk 199+218
81; pk 199+294
82; pk 199+370
83; pk 199+446
84; pk 199+523
85; pk 199+600
86; pk 199+675
87; pk 199+823
88; pk 199+172
89; pk 
90; pk 147+533
91; pk 147+457
92; pk 147+380
93; pk 147+304
94; pk 147+228
95; pk 147+152
96; pk 147+075
97; pk 146+999
98; pk 146+923
99; pk 146+846
100; pk 146+770
101; pk 146+694
102; pk 146+617
103; pk 146+541
104; pk 
105; pk 146+508
106; pk 146+584
107; pk 146+661
108; pk 146+737
109; pk 146+814
110; pk 146+890
111; pk 146+966
112; pk 147+043
113; pk 147+119
114; pk 147+196
115; pk 147+272
116; pk 147+348
117; pk 147+425
118; pk 147+501
119; pk 147+578
120; pk 147+654
121; pk 147+730
122; pk 147+807
123; pk 151+920
124; pk 151+842
125; pk 151+764
126; pk 151+686
127; pk 151+608
128; pk 151+529
129; pk 151+451
130; pk 151+373
131; pk 151+295
132; pk 151+217
133; pk 151+139
134; pk 151+061
135; pk 151+227
136; pk 151+305
137; pk 151+383
138; pk 151+460
139; pk 151+538
140; pk 151+616
141; pk 151+694
142; pk 151+772
143; pk 151+849
144; pk 151+927
145; pk 152+005
146; pk 152+083
147; pk 151+047
148; pk 152+265
149; pk 151+345
150; pk 151+345
151; pk 151+695
152; pk 151+695
153; pk 151+998
154; pk 152+045
155; pk 153+850
156; pk 153+490
157; pk 153+755
158; pk 153+604
159; pk 153+604
160; pk 153+755
161; pk 180+180
162; pk 180+108
163; pk 180+035
164; pk 179+965
165; pk 179+890
166; pk 179+820
167; pk 179+745
168; pk 179+675
169; pk 179+535
170; pk 179+535
171; pk 179+615
172; pk 179+695
173; pk 179+780
174; pk 179+860
175; pk 179+940
176; pk 180+020
177; pk 180+180
178; pk 179+850
179; pk 179+850
180; pk 150+138
181; pk 150+898
182; pk 150+785
183; pk 150+708
184; pk 150+628
185; pk 150+548
186; pk 150+473
187; pk 150+398
188; pk 150+247
189; pk 150+245
190; pk 150+323
191; pk 150+403
192; pk 150+483
193; pk 150+558
194; pk 150+638
195; pk 150+790
196; pk 150+498
197; pk 150+498
198; pk 179+442
199; pk 180+290
200; pk 177+307
201; pk 177+307
202; pk 177+307
203; pk 177+307
204; pk 176+995
205; pk 176+995
206; pk 176+995
207; pk 176+995
208; pk 166+732
209; pk 166+732
210; pk 166+732
211; pk 166+732
212; pk 165+990
213; pk 165+990
214; pk 165+990
215; pk 165+990
216; pk 195+534
217; pk 195+534
218; pk 195+534
219; pk 195+534
220; pk 194+704
221; pk 194+704
222; pk 194+704
