device_name;session_uid;PLC_name;det_name;det_order;PLC_ip;url_publisher;PLC_port(i);num_polling_out_comm;time_polling_ms;read_permission;write_permission
RV-ETD-1CA;RV-ETD-1CA;PLC_ETD-1CA;RV-SEC-1-DET-1CA-IN;1;192.168.11.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1CA;RV-ETD-1CA;PLC_ETD-1CA;RV-SEC-1-DET-2CA-IN;2;192.168.11.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1CA;RV-ETD-1CA;PLC_ETD-1CA;RV-SEC-2-DET-3MA-OUT;3;192.168.11.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1CA;RV-ETD-1CA;PLC_ETD-1CA;RV-SEC-2-DET-4MA-OUT;4;192.168.11.14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1MA;RV-ETD-1MA;PLC_ETD-1MA;RV-SEC-1-DET-1MA-IN;1;192.168.11.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1MA;RV-ETD-1MA;PLC_ETD-1MA;RV-SEC-1-DET-2MA-IN;2;192.168.11.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1MA;RV-ETD-1MA;PLC_ETD-1MA;RV-SEC-2-DET-3CA-OUT;3;192.168.11.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
RV-ETD-1MA;RV-ETD-1MA;PLC_ETD-1MA;RV-SEC-2-DET-4CA-OUT;4;192.168.11.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1CA;STMI-ETD-1CA;PLC_STMI-ETD-1CA;STMI-SEC-1-DET-1CA-IN;1;192.168.13.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1CA;STMI-ETD-1CA;PLC_STMI-ETD-1CA;STMI-SEC-1-DET-2CA-IN;2;192.168.13.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1CA;STMI-ETD-1CA;PLC_STMI-ETD-1CA;STMI-SEC-2-DET-3MA-OUT;3;192.168.13.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
STMI-ETD-1CA;STMI-ETD-1CA;PLC_STMI-ETD-1CA;STMI-SEC-2-DET-4MA-OUT;4;192.168.13.31;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;2;60000;monitor;
