device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
ICCP-AFL-001;ICCP-AFL-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11802;11804;11801;11801;11801;11801;11801;11801;11801;11801;11801;11808;11807;11800;11800
IBTO-AFL-001;IBTO-AFL-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11811;11813;11810;11810;11810;11810;11810;11810;11810;11810;11810;11817;11816;11809;11809
S2TS-AFL-037;S2TS-AFL-037;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11820;11822;11819;11819;11819;11819;11819;11819;11819;11819;11819;11826;11825;11818;11818
S2TS-AFL-038;S2TS-AFL-038;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11829;11831;11828;11828;11828;11828;11828;11828;11828;11828;11828;11835;11834;11827;11827
S2TS-AFL-039;S2TS-AFL-039;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11838;11840;11837;11837;11837;11837;11837;11837;11837;11837;11837;11844;11843;11836;11836
S2TN-AFL-007;S2TN-AFL-007;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11847;11849;11846;11846;11846;11846;11846;11846;11846;11846;11846;11853;11852;11845;11845
S2TN-AFL-008;S2TN-AFL-008;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11856;11858;11855;11855;11855;11855;11855;11855;11855;11855;11855;11862;11861;11854;11854
S2TN-AFL-009;S2TN-AFL-009;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11865;11867;11864;11864;11864;11864;11864;11864;11864;11864;11864;11871;11870;11863;11863
S2TS-AFL-040;S2TS-AFL-040;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11874;11876;11873;11873;11873;11873;11873;11873;11873;11873;11873;11880;11879;11872;11872
S2TS-AFL-041;S2TS-AFL-041;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11883;11885;11882;11882;11882;11882;11882;11882;11882;11882;11882;11889;11888;11881;11881
S2TS-AFL-042;S2TS-AFL-042;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11892;11894;11891;11891;11891;11891;11891;11891;11891;11891;11891;11898;11897;11890;11890
S2TS-AFL-043;S2TS-AFL-043;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11901;11903;11900;11900;11900;11900;11900;11900;11900;11900;11900;11907;11906;11899;11899
S2TN-AFL-004;S2TN-AFL-004;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11910;11912;11909;11909;11909;11909;11909;11909;11909;11909;11909;11916;11915;11908;11908
S2TN-AFL-005;S2TN-AFL-005;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11919;11921;11918;11918;11918;11918;11918;11918;11918;11918;11918;11925;11924;11917;11917
S2TN-AFL-006;S2TN-AFL-006;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11928;11930;11927;11927;11927;11927;11927;11927;11927;11927;11927;11934;11933;11926;11926
SBTP-AFL-001;SBTP-AFL-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11937;11939;11936;11936;11936;11936;11936;11936;11936;11936;11936;11943;11942;11935;11935
SBTP-AFL-002;SBTP-AFL-002;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11946;11948;11945;11945;11945;11945;11945;11945;11945;11945;11945;11952;11951;11944;11944
S2TS-AFL-044;S2TS-AFL-044;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11955;11957;11954;11954;11954;11954;11954;11954;11954;11954;11954;11961;11960;11953;11953
S2TS-AFL-045;S2TS-AFL-045;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11964;11966;11963;11963;11963;11963;11963;11963;11963;11963;11963;11970;11969;11962;11962
S2TS-AFL-046;S2TS-AFL-046;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11973;11975;11972;11972;11972;11972;11972;11972;11972;11972;11972;11979;11978;11971;11971
S2TN-AFL-001;S2TN-AFL-001;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11982;11984;11981;11981;11981;11981;11981;11981;11981;11981;11981;11988;11987;11980;11980
S2TN-AFL-002;S2TN-AFL-002;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11991;11993;11990;11990;11990;11990;11990;11990;11990;11990;11990;11997;11996;11989;11989
S2TN-AFL-003;S2TN-AFL-003;CT08_PLC_E;10.133.50.37;28054;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;12000;12002;11999;11999;11999;11999;11999;11999;11999;11999;11999;12006;12005;11998;11998
