device_name;session_uid;url_publisher;PLC_name;PLC_ip;PLC_port(i);read_permission;write_permission;offset_sos_door_open(i);offset_extinguisher_door_open(i);offset_extinguisher_extraction(i);offset_vol_mic_reader(i);offset_sip(i);offset_vol_audio_reader(i);offset_test_audio_reader(i);offset_test_audio_writer(i);offset_last_day_test(i);offset_last_month_test(i);offset_last_year_test(i);offset_last_hour_test(i);offset_last_minute_test(i);offset_last_second_test(i);offset_sos_electronic_fail(i);offset_foghorn_state(i);offset_sip_register(i);offset_vol_audio_writer(i);offset_vol_mic_writer(i);offset_test_llamada(i)
SICO-CAB-001;SICO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10000;10000;10000;10002;10000;10003;10000;10015;10004;10005;10006;10007;10008;10009;10001;10000;10000;10014;10013;10016
SICO-CAB-002;SICO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10017;10017;10017;10019;10017;10020;10017;10032;10021;10022;10023;10024;10025;10026;10018;10017;10017;10031;10030;10033
SICO-CAB-003;SICO-CAB-003;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10034;10034;10034;10036;10034;10037;10034;10049;10038;10039;10040;10041;10042;10043;10035;10034;10034;10048;10047;10050
ICCO-SOS-001;ICCO-SOS-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10051;10051;10051;10053;10051;10054;10051;10066;10055;10056;10057;10058;10059;10060;10052;10051;10051;10065;10064;10067
ICCO-CAB-001;ICCO-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10068;10068;10068;10070;10068;10071;10068;10083;10072;10073;10074;10075;10076;10077;10069;10068;10068;10082;10081;10084
ICCO-CAB-002;ICCO-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10085;10085;10085;10087;10085;10088;10085;10100;10089;10090;10091;10092;10093;10094;10086;10085;10085;10099;10098;10101
S2TN-CAB-020;S2TN-CAB-020;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10102;10102;10102;10104;10102;10105;10102;10117;10106;10107;10108;10109;10110;10111;10103;10102;10102;10116;10115;10118
S2TS-CAB-030;S2TS-CAB-030;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10119;10119;10119;10121;10119;10122;10119;10134;10123;10124;10125;10126;10127;10128;10120;10119;10119;10133;10132;10135
S2TN-CAB-019;S2TN-CAB-019;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10136;10136;10136;10138;10136;10139;10136;10151;10140;10141;10142;10143;10144;10145;10137;10136;10136;10150;10149;10152
S2TS-CAB-031;S2TS-CAB-031;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10153;10153;10153;10155;10153;10156;10153;10168;10157;10158;10159;10160;10161;10162;10154;10153;10153;10167;10166;10169
2E18-CAB-001;2E18-CAB-001;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10170;10170;10170;10172;10170;10173;10170;10185;10174;10175;10176;10177;10178;10179;10171;10170;10170;10184;10183;10186
2E18-CAB-002;2E18-CAB-002;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10187;10187;10187;10189;10187;10190;10187;10202;10191;10192;10193;10194;10195;10196;10188;10187;10187;10201;10200;10203
S2TN-CAB-018;S2TN-CAB-018;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10204;10204;10204;10206;10204;10207;10204;10219;10208;10209;10210;10211;10212;10213;10205;10204;10204;10218;10217;10220
S2TS-CAB-032;S2TS-CAB-032;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10221;10221;10221;10223;10221;10224;10221;10236;10225;10226;10227;10228;10229;10230;10222;10221;10221;10235;10234;10237
S2TN-CAB-017;S2TN-CAB-017;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;CT07_PLC_A;10.133.50.37;28043;monitor;;10238;10238;10238;10240;10238;10241;10238;10253;10242;10243;10244;10245;10246;10247;10239;10238;10238;10252;10251;10254
