device_name;session_uid;plc_name;host;port(i);url_publisher;read_permission;write_permission;offset_actual_brightness_state(i);offset_picto(i);offset_door_open(i);offset_communication_fail(i);offset_pixel_test_board_fail_0(i);offset_pixel_test_board_fail_1(i);offset_pixel_test_board_fail_2(i);offset_pixel_test_board_fail_3(i);offset_pixel_test_board_fail_4(i);offset_pixel_test_board_fail_5(i);offset_luxes_sensor_error(i);offset_pixel_error(i);offset_overtemperature(i);offset_pixel_test(i);offset_manual_brightness(i);offset_display_error(i);offset_image_modification_state(i)
SIGO-CLV-001;SIGO-CLV-001;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11202;11204;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11201;11208;11207;11200;11200
SIGO-CLV-002;SIGO-CLV-002;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11211;11213;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11210;11217;11216;11209;11209
S1TS-CLV-031;S1TS-CLV-031;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11220;11222;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11219;11226;11225;11218;11218
S1TS-CLV-032;S1TS-CLV-032;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11229;11231;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11228;11235;11234;11227;11227
S1TS-CLV-033;S1TS-CLV-033;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11238;11240;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11237;11244;11243;11236;11236
S1TN-CLV-004;S1TN-CLV-004;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11247;11249;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11246;11253;11252;11245;11245
S1TN-CLV-005;S1TN-CLV-005;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11256;11258;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11255;11262;11261;11254;11254
S1TN-CLV-006;S1TN-CLV-006;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11265;11267;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11264;11271;11270;11263;11263
S1TS-CLV-034;S1TS-CLV-034;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11274;11276;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11273;11280;11279;11272;11272
S1TS-CLV-035;S1TS-CLV-035;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11283;11285;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11282;11289;11288;11281;11281
S1TS-CLV-036;S1TS-CLV-036;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11292;11294;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11291;11298;11297;11290;11290
S1TS-CLV-037;S1TS-CLV-037;CT04_PLC_E;10.133.50.37;28026;http:\/\/10.133.50.38:3000\/api\/v2\/generic\/;monitor;;11301;11303;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11300;11307;11306;11299;11299
