name;daliGroup;levelDay;levelNight
LQ-DALI-DER-1MA-G0;0;100.0;100.0
LQ-DALI-DER-1MA-G1;1;100.0;0.0
LQ-DALI-IZQ-1MA-G0;0;100.0;100.0
LQ-DALI-IZQ-1MA-G1;1;100.0;0.0
LQ-DALI-DER-2MA-G0;0;100.0;100.0
LQ-DALI-DER-2MA-G1;1;100.0;0.0
LQ-DALI-IZQ-2MA-G0;0;100.0;100.0
LQ-DALI-IZQ-2MA-G1;1;100.0;0.0
LQ-DALI-IZQ-3MA-G0;0;100.0;100.0
LQ-DALI-IZQ-3MA-G1;1;100.0;0.0
LQ-DALI-IZQ-4CA-G0;0;100.0;100.0
LQ-DALI-IZQ-4CA-G1;1;100.0;0.0
LQ-DALI-IZQ-3CA-G0;0;100.0;100.0
LQ-DALI-IZQ-3CA-G1;1;100.0;0.0
LQ-DALI-DER-3MA-G0;0;100.0;100.0
LQ-DALI-DER-3MA-G1;1;100.0;0.0
LQ-DALI-IZQ-2CA-G0;0;100.0;100.0
LQ-DALI-IZQ-2CA-G1;1;100.0;0.0
LQ-DALI-DER-4MA-G0;0;100.0;100.0
LQ-DALI-DER-4MA-G1;1;100.0;0.0
LQ-DALI-IZQ-4MA-G0;0;100.0;100.0
LQ-DALI-IZQ-4MA-G1;1;100.0;0.0
LQ-DALI-IZQ-1CA-G0;0;100.0;100.0
LQ-DALI-IZQ-1CA-G1;1;100.0;0.0
LQ-DALI-DER-1CA-G0;0;100.0;100.0
LQ-DALI-DER-1CA-G1;1;100.0;0.0
LQ-DALI-DER-2CA-G0;0;100.0;100.0
LQ-DALI-DER-2CA-G1;1;100.0;0.0
LQ-DALI-DER-3CA-G0;0;100.0;100.0
LQ-DALI-DER-3CA-G1;1;100.0;0.0
LQ-DALI-DER-4CA-G0;0;100.0;100.0
LQ-DALI-DER-4CA-G1;1;100.0;0.0
