device_name;session_uid;PLC_name;det_name;det_order;host;url_publisher;port(i);read_permission;write_permission;num_polling_out_comm;time_polling_ms
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-1;1;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-2;2;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-3;3;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-4;4;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-5;5;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-DP;ETD-1-1-DP;ETD-1-1-DP;DET-ETD-1-1-DP-6;6;172.21.33.110;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CZ;ETD-1-1-CZ;ETD-1-1-CZ;DET-ETD-1-1-CZ-1;1;172.21.17.111;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CZ;ETD-1-1-CZ;ETD-1-1-CZ;DET-ETD-1-1-CZ-2;2;172.21.17.111;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CZ;ETD-1-1-CZ;ETD-1-1-CZ;DET-ETD-1-1-CZ-3;3;172.21.17.111;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-2-1-CZ;ETD-2-1-CZ;ETD-2-1-CZ;DET-ETD-2-1-CZ-1;1;172.21.17.112;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-2-1-CZ;ETD-2-1-CZ;ETD-2-1-CZ;DET-ETD-2-1-CZ-2;2;172.21.17.112;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-1;1;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-2;2;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-3;3;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-4;4;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-5;5;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-1-CA;ETD-1-1-CA;ETD-1-1-CA;DET-ETD-1-1-CA-6;6;172.21.57.101;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-1;1;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-2;2;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-3;3;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-4;4;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-5;5;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
ETD-1-2-CA;ETD-1-2-CA;ETD-1-2-CA;DET-ETD-1-2-CA-6;6;172.21.57.102;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;502;monitor;;2;60000
