device_name;url_publisher;source_name;host;port(i);offset_state(i)
INT-F1-B-TRAFO-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;5
INT-Q1-RED-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;6
INT-Q2-GRU-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;7
INT-K01-RED-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;8
INT-Q7-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;9
INT-Q8-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;10
INT-Q9-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;11
INT-Q10-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;12
INT-Q11-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;13
INT-Q12-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;14
INT-VENT-3-01-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;15
INT-VENT-3-02-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;16
INT-VENT-3-03-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;18
INT-VENT-3-04-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;17
INT-VENT-3-05-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;19
INT-VENT-3-06-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;20
INT-VENT-3-07-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;21
INT-VENT-3-08-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;22
INT-VENT-3-09-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;23
INT-VENT-3-10-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;24
INT-MOD-2-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;25
INT-MOD-4-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;26
INT-MOD-11-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;27
INT-Q5-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;29
INT-Q4-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;30
INT-K03-RED-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;31
INT-Q24-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;32
INT-Q13-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;33
INT-VENT-2-01-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;34
INT-VENT-2-02-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;35
INT-VENT-2-03-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;36
INT-VENT-2-04-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;37
INT-VENT-2-05-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;38
INT-VENT-3-11-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;39
INT-VENT-3-12-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;40
INT-VENT-3-13-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;41
INT-VENT-3-14-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;42
INT-Q3-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;46
INT-Q6-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;47
INT-K02-GRU-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;48
INT-F1-F4-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;49
INT-F6-F8-CGBT-DP3;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;M-01-DP;172.21.49.90;502;50
INT-Q26-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;83
INT-K01-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;85
INT-MANI-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;84
INT-SOL-IZQ-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;41
INT-SOL-IZQ-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;42
INT-SOL-IZQ-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;43
INT-SOL-IZQ-4-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;44
INT-NUB-IZQ-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;45
INT-NUB-IZQ-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;46
INT-NUB-IZQ-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;47
INT-NOC-IZQ-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;48
INT-CREP-IZQ-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;49
INT-CREP-IZQ-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;50
INT-CREP-IZQ-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;51
INT-SOL-DER-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;52
INT-SOL-DER-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;53
INT-SOL-DER-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;54
INT-SOL-DER-4-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;55
INT-NUB-DER-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;56
INT-NUB-DER-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;57
INT-NUB-DER-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;58
INT-CREP-DER-1-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;59
INT-CREP-DER-2-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;60
INT-CREP-DER-3-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;61
INT-EXT-ENT-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;62
INT-EXT-SAL-ILU-SUR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;63
INT-Q27-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;86
INT-K02-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;88
INT-MANI-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;87
INT-SOL-IZQ-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;64
INT-SOL-IZQ-2-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;65
INT-SOL-IZQ-3-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;66
INT-SOL-IZQ-4-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;67
INT-NUB-IZQ-1-ILU-NOR-4;http:\/\/172.21.3.202:3000\/api\/v2\/generic\/;ES-05-CA;172.21.57.50;502;68
